bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,island_Biscoe,island_Dream,island_Torgersen,sex_female,sex_male
42.3,21.2,191.0,4150.0,2007,False,True,False,False,True
48.7,14.1,210.0,4450.0,2007,True,False,False,True,False
35.3,18.9,187.0,3800.0,2007,True,False,False,True,False
47.4,14.6,212.0,4725.0,2009,True,False,False,True,False
36.4,17.1,184.0,2850.0,2008,True,False,False,True,False
35.7,17.0,189.0,3350.0,2009,False,False,True,True,False
54.2,20.8,201.0,4300.0,2008,False,True,False,False,True
49.5,16.1,224.0,5650.0,2009,True,False,False,False,True
43.5,18.1,202.0,3400.0,2009,False,True,False,True,False
44.1,18.0,210.0,4000.0,2009,False,False,True,False,True
36.2,17.3,187.0,3300.0,2008,False,True,False,True,False
39.6,17.7,186.0,3500.0,2008,True,False,False,True,False
49.6,15.0,216.0,4750.0,2008,True,False,False,False,True
36.2,16.1,187.0,3550.0,2008,False,False,True,True,False
52.0,18.1,201.0,4050.0,2007,False,True,False,False,True
55.8,19.8,207.0,4000.0,2009,False,True,False,False,True
50.0,15.9,224.0,5350.0,2009,True,False,False,False,True
45.8,14.2,219.0,4700.0,2008,True,False,False,True,False
49.6,18.2,193.0,3775.0,2009,False,True,False,False,True
46.5,14.4,217.0,4900.0,2008,True,False,False,True,False
37.6,19.1,194.0,3750.0,2008,True,False,False,False,True
42.6,13.7,213.0,4950.0,2008,True,False,False,True,False
39.7,18.9,184.0,3550.0,2009,True,False,False,False,True
39.7,17.7,193.0,3200.0,2009,True,False,False,True,False
37.9,18.6,193.0,2925.0,2009,True,False,False,True,False
46.4,18.6,190.0,3450.0,2007,False,True,False,True,False
51.7,20.3,194.0,3775.0,2007,False,True,False,False,True
51.5,16.3,230.0,5500.0,2009,True,False,False,False,True
